Date/Time,Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),InteriorLights:Electricity [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/01  00:15:00,281779.4080924739,281779.4080924739,0.0,0.0,965670.9170616225,0.0 
 01/01  00:30:00,281779.4080924739,281779.4080924739,0.0,0.0,995406.4391445217,0.0 
 01/01  00:45:00,281779.4080924739,281779.4080924739,0.0,0.0,1025323.7291667028,0.0 
 01/01  01:00:00,281779.4080924739,281779.4080924739,0.0,0.0,1055201.5245884988,0.0 
 01/01  01:15:00,281779.4080924739,281779.4080924739,0.0,0.0,1059678.8573645796,0.0 
 01/01  01:30:00,281779.4080924739,281779.4080924739,0.0,0.0,1064344.807382891,0.0 
 01/01  01:45:00,281779.4080924739,281779.4080924739,0.0,0.0,1068839.363470178,0.0 
 01/01  02:00:00,281779.4080924739,281779.4080924739,0.0,0.0,1072972.718072957,0.0 
 01/01  02:15:00,281779.4080924739,281779.4080924739,0.0,0.0,1071691.2889587242,0.0 
 01/01  02:30:00,281779.4080924739,281779.4080924739,0.0,0.0,1069737.94982567,0.0 
 01/01  02:45:00,281779.4080924739,281779.4080924739,0.0,0.0,1067096.2695988906,0.0 
 01/01  03:00:00,281779.4080924739,281779.4080924739,0.0,0.0,1063739.5432936822,0.0 
 01/01  03:15:00,281779.4080924739,281779.4080924739,0.0,0.0,1064267.010422473,0.0 
 01/01  03:30:00,281779.4080924739,281779.4080924739,0.0,0.0,1064176.9594718475,0.0 
 01/01  03:45:00,281779.4080924739,281779.4080924739,0.0,0.0,1063593.2839657244,0.0 
 01/01  04:00:00,281779.4080924739,281779.4080924739,0.0,0.0,1062622.3091666415,0.0 
 01/01  04:15:00,281779.4080924739,281779.4080924739,0.0,0.0,1062943.952305833,0.0 
 01/01  04:30:00,281779.4080924739,281779.4080924739,0.0,0.0,1063123.8302884964,0.0 
 01/01  04:45:00,281779.4080924739,281779.4080924739,0.0,0.0,1063133.1062950772,0.0 
 01/01  05:00:00,281779.4080924739,281779.4080924739,0.0,0.0,1062948.904785111,0.0 
 01/01  05:15:00,281779.4080924739,281779.4080924739,0.0,0.0,1064127.7701025378,0.0 
 01/01  05:30:00,281779.4080924739,281779.4080924739,0.0,0.0,1065144.458833081,0.0 
 01/01  05:45:00,281779.4080924739,281779.4080924739,0.0,0.0,1066024.535536983,0.0 
 01/01  06:00:00,281779.4080924739,281779.4080924739,0.0,0.0,1066775.7797671545,0.0 
 01/01  06:15:00,301420.55809247397,281779.4080924739,19641.149999999998,0.0,1055981.6895720023,0.0 
 01/01  06:30:00,301420.55809247397,281779.4080924739,19641.149999999998,0.0,1052735.3708912265,0.0 
 01/01  06:45:00,301420.55809247397,281779.4080924739,19641.149999999998,0.0,1049645.8674529179,0.0 
 01/01  07:00:00,301420.55809247397,281779.4080924739,19641.149999999998,0.0,1046639.1205598222,0.0 
 01/01  07:15:00,778281.750928512,385762.050928512,392519.7,0.0,800707.1096881004,0.0 
 01/01  07:30:00,778281.750928512,385762.050928512,392519.7,0.0,789121.2890631699,0.0 
 01/01  07:45:00,778281.750928512,385762.050928512,392519.7,0.0,780954.0243312128,0.0 
 01/01  08:00:00,778281.750928512,385762.050928512,392519.7,0.0,773728.9145625641,0.0 
 01/01  08:15:00,882262.674,489742.97399999995,392519.7,0.0,681466.0338766867,0.0 
 01/01  08:30:00,882262.674,489742.97399999995,392519.7,0.0,673081.3215381543,0.0 
 01/01  08:45:00,882262.674,489742.97399999995,392519.7,0.0,665400.0370981526,0.0 
 01/01  09:00:00,882262.674,489742.97399999995,392519.7,0.0,658137.8337375346,0.0 
 01/01  09:15:00,778281.750928512,385762.050928512,392519.7,0.0,737882.4116303435,0.0 
 01/01  09:30:00,778281.750928512,385762.050928512,392519.7,0.0,739350.1228504451,0.0 
 01/01  09:45:00,700098.7286321839,385762.050928512,314336.6777036719,0.0,759332.7122433055,0.0 
 01/01  10:00:00,584080.5374240108,385762.050928512,198318.48649549887,0.0,793741.9570401337,0.0 
 01/01  10:15:00,404024.3801801155,281779.4080924739,122244.97208764158,0.0,901017.2851110972,0.0 
 01/01  10:30:00,334506.23596146857,281779.4080924739,52726.82786899464,0.0,919917.5485253529,0.0 
 01/01  10:45:00,312468.0130924739,281779.4080924739,30688.605,0.0,906752.5644837148,0.0 
 01/01  11:00:00,312468.0130924739,281779.4080924739,30688.605,0.0,897586.0043116622,0.0 
 01/01  11:15:00,312468.0130924739,281779.4080924739,30688.605,0.0,883383.7403641786,0.0 
 01/01  11:30:00,312468.0130924739,281779.4080924739,30688.605,0.0,869433.426422771,0.0 
 01/01  11:45:00,312468.0130924739,281779.4080924739,30688.605,0.0,858834.1256602348,0.0 
 01/01  12:00:00,312468.0130924739,281779.4080924739,30688.605,0.0,848706.983163485,0.0 
 01/01  12:15:00,312468.0130924739,281779.4080924739,30688.605,0.0,846664.1861520209,0.0 
 01/01  12:30:00,312468.0130924739,281779.4080924739,30688.605,0.0,844330.6479385153,0.0 
 01/01  12:45:00,312468.0130924739,281779.4080924739,30688.605,0.0,845308.2273874004,0.0 
 01/01  13:00:00,312468.0130924739,281779.4080924739,30688.605,0.0,847095.7732785546,0.0 
 01/01  13:15:00,312468.0130924739,281779.4080924739,30688.605,0.0,847525.2746704156,0.0 
 01/01  13:30:00,312468.0130924739,281779.4080924739,30688.605,0.0,848373.9391689375,0.0 
 01/01  13:45:00,312468.0130924739,281779.4080924739,30688.605,0.0,852303.6253771776,0.0 
 01/01  14:00:00,331054.76667599249,281779.4080924739,49275.35858351856,0.0,849250.4564884795,0.0 
