Time,BLOCCO1:ZONA3:WINTER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12):Des Heat Load [W],BLOCCO1:ZONA3:SUMMER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12) AUG:Des Sens Cool Load [W],BLOCCO1:ZONA3:WINTER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCCO1:ZONA3:SUMMER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12) AUG:Des Cool Mass Flow [kg/s],BLOCCO1:ZONA1:WINTER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12):Des Heat Load [W],BLOCCO1:ZONA1:SUMMER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12) JUL:Des Sens Cool Load [W],BLOCCO1:ZONA1:WINTER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCCO1:ZONA1:SUMMER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12) JUL:Des Cool Mass Flow [kg/s],BLOCCO1:ZONA2:WINTER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12):Des Heat Load [W],BLOCCO1:ZONA2:SUMMER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12) JUL:Des Sens Cool Load [W],BLOCCO1:ZONA2:WINTER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCCO1:ZONA2:SUMMER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12) JUL:Des Cool Mass Flow [kg/s]
00:15:00,1.489436E+03,0.000000E+00,9.595072E-02,0.000000E+00,3.813788E+02,0.000000E+00,2.457350E-02,0.000000E+00,1.300577E+03,0.000000E+00,8.378482E-02,0.000000E+00
00:30:00,1.489433E+03,0.000000E+00,9.595057E-02,0.000000E+00,3.813784E+02,0.000000E+00,2.457348E-02,0.000000E+00,1.300575E+03,0.000000E+00,8.378471E-02,0.000000E+00
00:45:00,1.489431E+03,0.000000E+00,9.595043E-02,0.000000E+00,3.813780E+02,0.000000E+00,2.457345E-02,0.000000E+00,1.300573E+03,0.000000E+00,8.378461E-02,0.000000E+00
01:00:00,1.489429E+03,0.000000E+00,9.595029E-02,0.000000E+00,3.813777E+02,0.000000E+00,2.457343E-02,0.000000E+00,1.300572E+03,0.000000E+00,8.378450E-02,0.000000E+00
01:15:00,1.489429E+03,0.000000E+00,9.595031E-02,0.000000E+00,3.813777E+02,0.000000E+00,2.457343E-02,0.000000E+00,1.300572E+03,0.000000E+00,8.378451E-02,0.000000E+00
01:30:00,1.489430E+03,0.000000E+00,9.595032E-02,0.000000E+00,3.813777E+02,0.000000E+00,2.457343E-02,0.000000E+00,1.300572E+03,0.000000E+00,8.378452E-02,0.000000E+00
01:45:00,1.489430E+03,1.231905E+02,9.595033E-02,8.687485E-03,3.813778E+02,0.000000E+00,2.457343E-02,0.000000E+00,1.300572E+03,0.000000E+00,8.378453E-02,0.000000E+00
02:00:00,1.489430E+03,2.459700E+02,9.595035E-02,1.731094E-02,3.813778E+02,0.000000E+00,2.457344E-02,0.000000E+00,1.300572E+03,0.000000E+00,8.378454E-02,0.000000E+00
02:15:00,1.489430E+03,3.683869E+02,9.595036E-02,2.589082E-02,3.813778E+02,0.000000E+00,2.457344E-02,0.000000E+00,1.300572E+03,0.000000E+00,8.378455E-02,0.000000E+00
02:30:00,1.489430E+03,4.948999E+02,9.595037E-02,3.475792E-02,3.813779E+02,0.000000E+00,2.457344E-02,0.000000E+00,1.300573E+03,0.000000E+00,8.378456E-02,0.000000E+00
02:45:00,1.489430E+03,4.965863E+02,9.595038E-02,3.482289E-02,3.813779E+02,0.000000E+00,2.457344E-02,0.000000E+00,1.300573E+03,0.000000E+00,8.378457E-02,0.000000E+00
03:00:00,1.489431E+03,4.960215E+02,9.595039E-02,3.476532E-02,3.813779E+02,0.000000E+00,2.457344E-02,0.000000E+00,1.300573E+03,0.000000E+00,8.378458E-02,0.000000E+00
03:15:00,1.489431E+03,4.931535E+02,9.595040E-02,3.456447E-02,3.813780E+02,0.000000E+00,2.457345E-02,0.000000E+00,1.300573E+03,0.000000E+00,8.378459E-02,0.000000E+00
03:30:00,1.489431E+03,4.835263E+02,9.595042E-02,3.388975E-02,3.813780E+02,0.000000E+00,2.457345E-02,0.000000E+00,1.300573E+03,0.000000E+00,8.378459E-02,0.000000E+00
03:45:00,1.489431E+03,4.728921E+02,9.595043E-02,3.314443E-02,3.813780E+02,0.000000E+00,2.457345E-02,0.000000E+00,1.300573E+03,0.000000E+00,8.378460E-02,0.000000E+00
04:00:00,1.489431E+03,4.622971E+02,9.595044E-02,3.240183E-02,3.813781E+02,0.000000E+00,2.457345E-02,0.000000E+00,1.300573E+03,0.000000E+00,8.378461E-02,0.000000E+00
04:15:00,1.489432E+03,4.519493E+02,9.595045E-02,3.167656E-02,3.813781E+02,0.000000E+00,2.457345E-02,0.000000E+00,1.300574E+03,0.000000E+00,8.378462E-02,0.000000E+00
04:30:00,1.489432E+03,4.418771E+02,9.595046E-02,3.097061E-02,3.813781E+02,0.000000E+00,2.457346E-02,0.000000E+00,1.300574E+03,0.000000E+00,8.378463E-02,0.000000E+00
04:45:00,1.489432E+03,4.320968E+02,9.595047E-02,3.028511E-02,3.813781E+02,0.000000E+00,2.457346E-02,0.000000E+00,1.300574E+03,0.000000E+00,8.378463E-02,0.000000E+00
05:00:00,1.489432E+03,4.156613E+02,9.595048E-02,2.913317E-02,3.813782E+02,0.000000E+00,2.457346E-02,0.000000E+00,1.300574E+03,0.000000E+00,8.378464E-02,0.000000E+00
05:15:00,1.489432E+03,3.830381E+02,9.595049E-02,2.684663E-02,3.813782E+02,6.079454E+00,2.457346E-02,4.282442E-04,1.300574E+03,1.458274E+01,8.378465E-02,1.028938E-03
05:30:00,1.489432E+03,3.671406E+02,9.595050E-02,2.573233E-02,3.813782E+02,6.079454E+00,2.457346E-02,4.282442E-04,1.300574E+03,1.458274E+01,8.378466E-02,1.028938E-03
05:45:00,1.489432E+03,3.704094E+02,9.595051E-02,2.596135E-02,3.813782E+02,6.079454E+00,2.457346E-02,4.282442E-04,1.300574E+03,1.458274E+01,8.378466E-02,1.028938E-03
06:00:00,1.489433E+03,4.019604E+02,9.595052E-02,2.817266E-02,3.813783E+02,6.079454E+00,2.457347E-02,4.282442E-04,1.300574E+03,1.458274E+01,8.378467E-02,1.028938E-03
06:15:00,1.489433E+03,4.727422E+02,9.595052E-02,3.313363E-02,3.813783E+02,0.000000E+00,2.457347E-02,0.000000E+00,1.300574E+03,0.000000E+00,8.378468E-02,0.000000E+00
06:30:00,1.489433E+03,5.515432E+02,9.595053E-02,3.865689E-02,3.813783E+02,3.316842E+00,2.457347E-02,2.328647E-04,1.300575E+03,0.000000E+00,8.378468E-02,0.000000E+00
06:45:00,1.489433E+03,6.367154E+02,9.595054E-02,4.462680E-02,3.813783E+02,2.034311E+01,2.457347E-02,1.426180E-03,1.300575E+03,0.000000E+00,8.378469E-02,0.000000E+00
07:00:00,1.489433E+03,7.269990E+02,9.595055E-02,5.095498E-02,3.813784E+02,4.921081E+01,2.457347E-02,3.449459E-03,1.300575E+03,0.000000E+00,8.378470E-02,0.000000E+00
07:15:00,1.489433E+03,5.796393E+02,9.595056E-02,4.062679E-02,3.813784E+02,9.947090E+01,2.457347E-02,6.972161E-03,1.300575E+03,1.028786E+01,8.378470E-02,7.301181E-04
07:30:00,1.489433E+03,4.099222E+02,9.595057E-02,2.873140E-02,3.813784E+02,1.614174E+02,2.457348E-02,1.131358E-02,1.300575E+03,5.564063E+01,8.378471E-02,3.909192E-03
07:45:00,1.489433E+03,2.488283E+02,9.595057E-02,1.744751E-02,3.813784E+02,2.240173E+02,2.457348E-02,1.570134E-02,1.300575E+03,1.293293E+02,8.378471E-02,9.073880E-03
08:00:00,1.489434E+03,1.070977E+02,9.595058E-02,7.513471E-03,3.813785E+02,2.883801E+02,2.457348E-02,2.021272E-02,1.300575E+03,2.348735E+02,8.378472E-02,1.647131E-02
08:15:00,1.489434E+03,2.352945E+02,9.595059E-02,1.649838E-02,3.813785E+02,3.378328E+02,2.457348E-02,2.367905E-02,1.300575E+03,3.431866E+02,8.378473E-02,2.405381E-02
08:30:00,1.489434E+03,4.174201E+02,9.595060E-02,2.926310E-02,3.813785E+02,3.841890E+02,2.457348E-02,2.692835E-02,1.300575E+03,4.461598E+02,8.378473E-02,3.127078E-02
08:45:00,1.489434E+03,6.184104E+02,9.595060E-02,4.334288E-02,3.813785E+02,4.270994E+02,2.457348E-02,2.993604E-02,1.300575E+03,5.488512E+02,8.378474E-02,3.846850E-02
09:00:00,1.489434E+03,8.262465E+02,9.595061E-02,5.790977E-02,3.813785E+02,4.662057E+02,2.457348E-02,3.267700E-02,1.300575E+03,6.458422E+02,8.378474E-02,4.526676E-02
09:15:00,1.489434E+03,1.028062E+03,9.595062E-02,7.205492E-02,3.813786E+02,5.009770E+02,2.457348E-02,3.511410E-02,1.300576E+03,7.333594E+02,8.378475E-02,5.140101E-02
09:30:00,1.489434E+03,1.221355E+03,9.595063E-02,8.560280E-02,3.813786E+02,5.306533E+02,2.457349E-02,3.719408E-02,1.300576E+03,8.113728E+02,8.378475E-02,5.686913E-02
09:45:00,1.489434E+03,1.407542E+03,9.595063E-02,9.865262E-02,3.813786E+02,5.710156E+02,2.457349E-02,4.002306E-02,1.300576E+03,9.332932E+02,8.378476E-02,6.541471E-02
10:00:00,1.489434E+03,1.584753E+03,9.595064E-02,1.110734E-01,3.813786E+02,6.025646E+02,2.457349E-02,4.223449E-02,1.300576E+03,1.033856E+03,8.378476E-02,7.246386E-02
10:15:00,1.489435E+03,1.751526E+03,9.595065E-02,1.227625E-01,3.813786E+02,6.315590E+02,2.457349E-02,4.426653E-02,1.300576E+03,1.133205E+03,8.378477E-02,7.942744E-02
10:30:00,1.489435E+03,1.990874E+03,9.595065E-02,1.395384E-01,3.813786E+02,6.519612E+02,2.457349E-02,4.569603E-02,1.300576E+03,1.212306E+03,8.378477E-02,8.497118E-02
10:45:00,1.489435E+03,2.202497E+03,9.595066E-02,1.543716E-01,3.813787E+02,6.476626E+02,2.457349E-02,4.539414E-02,1.300576E+03,1.217124E+03,8.378478E-02,8.530807E-02
11:00:00,1.489435E+03,2.385362E+03,9.595066E-02,1.671891E-01,3.813787E+02,6.377985E+02,2.457349E-02,4.470201E-02,1.300576E+03,1.212721E+03,8.378478E-02,8.499800E-02
11:15:00,1.489435E+03,2.540531E+03,9.595067E-02,1.780649E-01,3.813787E+02,6.228889E+02,2.457349E-02,4.365660E-02,1.300576E+03,1.199408E+03,8.378479E-02,8.406390E-02
11:30:00,1.489435E+03,2.584188E+03,9.595068E-02,1.811248E-01,3.813787E+02,6.038193E+02,2.457349E-02,4.231995E-02,1.300576E+03,1.178561E+03,8.378479E-02,8.260238E-02
11:45:00,1.489435E+03,2.617274E+03,9.595068E-02,1.834431E-01,3.813787E+02,5.819062E+02,2.457350E-02,4.078413E-02,1.300576E+03,1.152370E+03,8.378480E-02,8.076666E-02
12:00:00,1.489435E+03,2.642984E+03,9.595069E-02,1.852445E-01,3.813787E+02,5.591413E+02,2.457350E-02,3.918860E-02,1.300576E+03,1.123672E+03,8.378480E-02,7.875525E-02
