Date/Time,Electricity:Facility [J](Hourly),InteriorEquipment:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly) 
 01/01  01:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,3634972.306206311,0.0 
 01/01  02:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,3650457.926164957,0.0 
 01/01  03:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,3734132.6600356397,0.0 
 01/01  04:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,3793029.402850877,0.0 
 01/01  05:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,3892578.2889753396,0.0 
 01/01  06:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,3946676.276135263,0.0 
 01/01  07:00:00,1284957.8195587199,1197395.0195587199,87562.8,0.0,3977039.1216751707,0.0 
 01/01  08:00:00,3060892.477949904,1311474.2779499039,1749418.2,0.0,3244452.6025001385,0.0 
 01/01  09:00:00,3174969.5676,1425551.3676,1749418.2,0.0,3114395.8317315059,0.0 
 01/01  10:00:00,2431425.489448326,1311474.2779499039,1119951.211498422,0.0,3436739.539159625,0.0 
 01/01  11:00:00,1333290.87955872,1197395.0195587199,135895.86,0.0,3051654.621559093,0.0 
 01/01  12:00:00,1333290.87955872,1197395.0195587199,135895.86,0.0,2327731.0045587217,0.0 
 01/01  13:00:00,1397230.3333092414,1197395.0195587199,199835.31375052158,0.0,2330776.6369200528,0.0 
 01/01  14:00:00,1333290.87955872,1197395.0195587199,135895.86,0.0,1881411.200505364,0.0 
 01/01  15:00:00,1333290.87955872,1197395.0195587199,135895.86,0.0,1887843.8005614463,0.0 
 01/01  16:00:00,2431786.680882942,1197395.0195587199,1234391.6613242217,0.0,1849601.4258264607,0.0 
 01/01  17:00:00,2556353.6195587206,1197395.0195587199,1358958.6,0.0,2012963.6512151433,0.0 
 01/01  18:00:00,2613393.2487543125,1254434.648754312,1358958.6,0.0,2136018.374428249,0.0 
 01/01  19:00:00,2757995.677949904,1311474.2779499039,1446521.4,0.0,2144344.2920806247,0.0 
 01/01  20:00:00,2875612.498404408,1368511.738404408,1507100.76,0.0,2205062.750501446,0.0 
 01/01  21:00:00,2932652.1276000004,1425551.3676,1507100.76,0.0,2296133.366758029,0.0 
 01/01  22:00:00,2932652.1276000004,1425551.3676,1507100.76,0.0,2427682.014322922,0.0 
 01/01  23:00:00,2516257.978404408,1368511.738404408,1147746.24,0.0,2753025.8761532327,0.0 
 01/01  24:00:00,1526226.368754312,1254434.648754312,271791.72,0.0,3428800.3467028925,0.0 
 01/02  01:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,3877291.925937183,0.0 
 01/02  02:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,4085918.728725715,0.0 
 01/02  03:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,4138936.150515497,0.0 
 01/02  04:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,4237281.975872113,0.0 
 01/02  05:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,4346412.996372676,0.0 
 01/02  06:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,4448923.050090282,0.0 
 01/02  07:00:00,1284957.8195587199,1197395.0195587199,87562.8,0.0,4427368.2696644249,0.0 
 01/02  08:00:00,3060892.477949904,1311474.2779499039,1749418.2,0.0,3549536.610565039,0.0 
 01/02  09:00:00,3174969.5676,1425551.3676,1749418.2,0.0,3371677.7758903077,0.0 
 01/02  10:00:00,2926033.70035558,1311474.2779499039,1614559.4224056758,0.0,3495884.7771425677,0.0 
 01/02  11:00:00,2085662.1754201356,1197395.0195587199,888267.1558614153,0.0,3792123.0490678895,0.0 
 01/02  12:00:00,1682683.5606269197,1197395.0195587199,485288.54106819976,0.0,3752765.662081574,0.0 
 01/02  13:00:00,1333290.87955872,1197395.0195587199,135895.86,0.0,3002001.026477655,0.0 
 01/02  14:00:00,1333290.87955872,1197395.0195587199,135895.86,0.0,2367902.2477676656,0.0 
 01/02  15:00:00,1333290.87955872,1197395.0195587199,135895.86,0.0,2326420.231178021,0.0 
 01/02  16:00:00,2433176.220372454,1197395.0195587199,1235781.2008137336,0.0,2405440.1334109229,0.0 
 01/02  17:00:00,2556353.6195587206,1197395.0195587199,1358958.6,0.0,2711594.1082797895,0.0 
 01/02  18:00:00,2613393.2487543125,1254434.648754312,1358958.6,0.0,2929004.3895844917,0.0 
 01/02  19:00:00,2757995.677949904,1311474.2779499039,1446521.4,0.0,3080442.2468430588,0.0 
 01/02  20:00:00,2875612.498404408,1368511.738404408,1507100.76,0.0,3185232.429923253,0.0 
 01/02  21:00:00,2932652.1276000004,1425551.3676,1507100.76,0.0,3226215.1407431128,0.0 
 01/02  22:00:00,2932652.1276000004,1425551.3676,1507100.76,0.0,3282524.767611707,0.0 
 01/02  23:00:00,2516257.978404408,1368511.738404408,1147746.24,0.0,3608496.751652792,0.0 
 01/02  24:00:00,1526226.368754312,1254434.648754312,271791.72,0.0,4247871.336942693,0.0 
 01/03  01:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,4539166.451557146,0.0 
 01/03  02:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,4643850.229553009,0.0 
 01/03  03:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,4740136.684656991,0.0 
 01/03  04:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,4866042.012889995,0.0 
 01/03  05:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,4992178.225906564,0.0 
 01/03  06:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,5114150.175493566,0.0 
 01/03  07:00:00,2643916.4195587199,1197395.0195587199,1446521.4,0.0,4507685.242140974,0.0 
 01/03  08:00:00,3060892.477949904,1311474.2779499039,1749418.2,0.0,4193784.446954442,0.0 
 01/03  09:00:00,3174969.5676,1425551.3676,1749418.2,0.0,4044682.2585451269,0.0 
 01/03  10:00:00,2926183.5971334425,1311474.2779499039,1614709.319183538,0.0,4109792.206455989,0.0 
 01/03  11:00:00,2039068.5468508639,1197395.0195587199,841673.5272921438,0.0,4402297.555140634,0.0 
 01/03  12:00:00,1814651.5918012497,1197395.0195587199,617256.5722425296,0.0,4366602.597175159,0.0 
 01/03  13:00:00,1647277.6737650757,1197395.0195587199,449882.65420635577,0.0,4227094.885584998,0.0 
 01/03  14:00:00,1333290.87955872,1197395.0195587199,135895.86,0.0,3730638.840197134,0.0 
 01/03  15:00:00,2042310.956211279,1197395.0195587199,844915.9366525591,0.0,3766729.391668944,0.0 
 01/03  16:00:00,2546642.567648019,1197395.0195587199,1349247.5480892992,0.0,3892041.785299088,0.0 
 01/03  17:00:00,2556353.6195587206,1197395.0195587199,1358958.6,0.0,4025736.9473252587,0.0 
 01/03  18:00:00,2613393.2487543125,1254434.648754312,1358958.6,0.0,3865948.0452525799,0.0 
 01/03  19:00:00,2757995.677949904,1311474.2779499039,1446521.4,0.0,3605185.83830179,0.0 
 01/03  20:00:00,2875612.498404408,1368511.738404408,1507100.76,0.0,3502271.4260415139,0.0 
 01/03  21:00:00,2932652.1276000004,1425551.3676,1507100.76,0.0,3510820.2785644337,0.0 
 01/03  22:00:00,2932652.1276000004,1425551.3676,1507100.76,0.0,3608792.0076834496,0.0 
 01/03  23:00:00,2516257.978404408,1368511.738404408,1147746.24,0.0,3869566.6600114495,0.0 
 01/03  24:00:00,1526226.368754312,1254434.648754312,271791.72,0.0,4394413.267453443,0.0 
 01/04  01:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,4552308.128572993,0.0 
 01/04  02:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,4600054.910641257,0.0 
 01/04  03:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,4807106.900987444,0.0 
 01/04  04:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,5001505.190888791,0.0 
 01/04  05:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,5107013.163569473,0.0 
 01/04  06:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,5201112.795759238,0.0 
 01/04  07:00:00,2643916.4195587199,1197395.0195587199,1446521.4,0.0,4531860.628049535,0.0 
 01/04  08:00:00,3060892.477949904,1311474.2779499039,1749418.2,0.0,4121640.5079904219,0.0 
 01/04  09:00:00,3174969.5676,1425551.3676,1749418.2,0.0,3868487.6445820487,0.0 
 01/04  10:00:00,2972186.7030141016,1311474.2779499039,1660712.4250641973,0.0,3974915.9386589529,0.0 
 01/04  11:00:00,2230905.1823647657,1197395.0195587199,1033510.1628060456,0.0,4387900.526617693,0.0 
 01/04  12:00:00,1984472.5408643522,1197395.0195587199,787077.5213056323,0.0,4462866.522782055,0.0 
 01/04  13:00:00,1699656.4741375647,1197395.0195587199,502261.4545788448,0.0,4637904.791563582,0.0 
 01/04  14:00:00,1849240.0051949076,1197395.0195587199,651844.9856361875,0.0,4731563.532273851,0.0 
 01/04  15:00:00,2183424.008351803,1197395.0195587199,986028.9887930828,0.0,4709534.707094485,0.0 
 01/04  16:00:00,2537932.4948233,1197395.0195587199,1340537.4752645798,0.0,4660253.385234341,0.0 
 01/04  17:00:00,2556353.6195587206,1197395.0195587199,1358958.6,0.0,4730479.32530998,0.0 
 01/04  18:00:00,2613393.2487543125,1254434.648754312,1358958.6,0.0,4754325.352090564,0.0 
 01/04  19:00:00,2757995.677949904,1311474.2779499039,1446521.4,0.0,4722982.5356133,0.0 
 01/04  20:00:00,2875612.498404408,1368511.738404408,1507100.76,0.0,4678585.83599751,0.0 
 01/04  21:00:00,2932652.1276000004,1425551.3676,1507100.76,0.0,4672223.170738447,0.0 
 01/04  22:00:00,2932652.1276000004,1425551.3676,1507100.76,0.0,4760312.037527897,0.0 
 01/04  23:00:00,2516257.978404408,1368511.738404408,1147746.24,0.0,5109091.132529274,0.0 
 01/04  24:00:00,1526226.368754312,1254434.648754312,271791.72,0.0,5815369.740336265,0.0 
 01/05  01:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,6220397.1418916149,0.0 
 01/05  02:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,6456415.431535681,0.0 
 01/05  03:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,6640987.729085679,0.0 
 01/05  04:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,6829824.449545023,0.0 
 01/05  05:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,7074387.720488405,0.0 
 01/05  06:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,7323092.298543561,0.0 
 01/05  07:00:00,2643916.4195587199,1197395.0195587199,1446521.4,0.0,6745305.442245758,0.0 
 01/05  08:00:00,3060892.477949904,1311474.2779499039,1749418.2,0.0,6438804.146879358,0.0 
 01/05  09:00:00,3174969.5676,1425551.3676,1749418.2,0.0,6335950.6190181099,0.0 
 01/05  10:00:00,2411113.4554484498,1311474.2779499039,1099639.1774985456,0.0,6401177.907247664,0.0 
 01/05  11:00:00,1333290.87955872,1197395.0195587199,135895.86,0.0,5723213.350536407,0.0 
 01/05  12:00:00,1333290.87955872,1197395.0195587199,135895.86,0.0,4962123.411473244,0.0 
 01/05  13:00:00,1333290.87955872,1197395.0195587199,135895.86,0.0,4237856.046605852,0.0 
 01/05  14:00:00,1333290.87955872,1197395.0195587199,135895.86,0.0,3692713.6465836355,0.0 
 01/05  15:00:00,1333290.87955872,1197395.0195587199,135895.86,0.0,3960039.0409979217,0.0 
 01/05  16:00:00,2427923.587611328,1197395.0195587199,1230528.5680526077,0.0,4333381.127196068,0.0 
 01/05  17:00:00,2556353.6195587206,1197395.0195587199,1358958.6,0.0,4758477.3897714079,0.0 
 01/05  18:00:00,2613393.2487543125,1254434.648754312,1358958.6,0.0,4994539.749493854,0.0 
 01/05  19:00:00,2757995.677949904,1311474.2779499039,1446521.4,0.0,5262128.508098219,0.0 
 01/05  20:00:00,2875612.498404408,1368511.738404408,1507100.76,0.0,5343249.547781974,0.0 
 01/05  21:00:00,2932652.1276000004,1425551.3676,1507100.76,0.0,5243068.301331611,0.0 
 01/05  22:00:00,2932652.1276000004,1425551.3676,1507100.76,0.0,5250875.436711054,0.0 
 01/05  23:00:00,2516257.978404408,1368511.738404408,1147746.24,0.0,5520631.01722622,0.0 
 01/05  24:00:00,1526226.368754312,1254434.648754312,271791.72,0.0,6152992.484959453,0.0 
 01/06  01:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,6485150.694071367,0.0 
 01/06  02:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,6601484.376016639,0.0 
 01/06  03:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,6733427.86207091,0.0 
 01/06  04:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,6873483.16367806,0.0 
 01/06  05:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,6987246.238111486,0.0 
 01/06  06:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,7095501.084786768,0.0 
 01/06  07:00:00,2643916.4195587199,1197395.0195587199,1446521.4,0.0,6441605.552226677,0.0 
