Time,BLOCCO1:ZONA3:WINTER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12):Des Heat Load [W],BLOCCO1:ZONA3:SUMMER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12) JUN:Des Sens Cool Load [W],BLOCCO1:ZONA3:WINTER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCCO1:ZONA3:SUMMER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12) JUN:Des Cool Mass Flow [kg/s],BLOCCO1:ZONA1:WINTER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12):Des Heat Load [W],BLOCCO1:ZONA1:SUMMER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12) JUN:Des Sens Cool Load [W],BLOCCO1:ZONA1:WINTER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCCO1:ZONA1:SUMMER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12) JUN:Des Cool Mass Flow [kg/s],BLOCCO1:ZONA2:WINTER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12):Des Heat Load [W],BLOCCO1:ZONA2:SUMMER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12) JUN:Des Sens Cool Load [W],BLOCCO1:ZONA2:WINTER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCCO1:ZONA2:SUMMER DESIGN DAY IN SENZA TITOLO (O1-O1:31-12) JUN:Des Cool Mass Flow [kg/s]
00:10:00,1.667226E+03,0.000000E+00,1.074193E-01,0.000000E+00,3.486848E+02,4.780538E+01,1.982533E-02,3.350451E-03,1.339369E+03,0.000000E+00,7.614330E-02,0.000000E+00
00:20:00,1.667226E+03,0.000000E+00,1.074193E-01,0.000000E+00,3.486847E+02,4.366647E+01,1.982532E-02,3.060374E-03,1.339369E+03,0.000000E+00,7.614327E-02,0.000000E+00
00:30:00,1.667225E+03,0.000000E+00,1.074193E-01,0.000000E+00,3.486845E+02,3.956627E+01,1.982532E-02,2.773009E-03,1.339368E+03,0.000000E+00,7.614324E-02,0.000000E+00
00:40:00,1.667225E+03,0.000000E+00,1.074192E-01,0.000000E+00,3.486844E+02,3.550596E+01,1.982531E-02,2.488444E-03,1.339368E+03,0.000000E+00,7.614322E-02,0.000000E+00
00:50:00,1.667224E+03,0.000000E+00,1.074192E-01,0.000000E+00,3.486843E+02,3.149722E+01,1.982530E-02,2.207492E-03,1.339367E+03,0.000000E+00,7.614319E-02,0.000000E+00
01:00:00,1.667224E+03,0.000000E+00,1.074192E-01,0.000000E+00,3.486842E+02,2.754283E+01,1.982530E-02,1.930349E-03,1.339367E+03,0.000000E+00,7.614316E-02,0.000000E+00
01:10:00,1.667224E+03,0.000000E+00,1.074192E-01,0.000000E+00,3.486842E+02,2.366761E+01,1.982530E-02,1.658755E-03,1.339367E+03,0.000000E+00,7.614316E-02,0.000000E+00
01:20:00,1.667224E+03,0.000000E+00,1.074192E-01,0.000000E+00,3.486843E+02,1.987235E+01,1.982530E-02,1.392763E-03,1.339367E+03,0.000000E+00,7.614317E-02,0.000000E+00
01:30:00,1.667224E+03,5.648314E+01,1.074192E-01,3.979267E-03,3.486843E+02,1.615985E+01,1.982530E-02,1.132572E-03,1.339367E+03,0.000000E+00,7.614317E-02,0.000000E+00
01:40:00,1.667224E+03,1.219538E+02,1.074192E-01,8.595289E-03,3.486843E+02,1.253136E+01,1.982530E-02,8.782681E-04,1.339367E+03,0.000000E+00,7.614317E-02,0.000000E+00
01:50:00,1.667224E+03,1.956882E+02,1.074192E-01,1.377028E-02,3.486843E+02,9.016956E+00,1.982530E-02,6.319586E-04,1.339367E+03,0.000000E+00,7.614317E-02,0.000000E+00
02:00:00,1.667224E+03,2.757960E+02,1.074192E-01,1.938453E-02,3.486843E+02,6.053785E+00,1.982530E-02,4.242830E-04,1.339367E+03,0.000000E+00,7.614318E-02,0.000000E+00
02:10:00,1.667224E+03,3.565945E+02,1.074192E-01,2.504712E-02,3.486843E+02,3.687829E+00,1.982530E-02,2.584635E-04,1.339367E+03,0.000000E+00,7.614318E-02,0.000000E+00
02:20:00,1.667224E+03,4.372214E+02,1.074192E-01,3.069771E-02,3.486843E+02,1.911117E+00,1.982530E-02,1.339414E-04,1.339367E+03,0.000000E+00,7.614318E-02,0.000000E+00
02:30:00,1.667224E+03,4.606986E+02,1.074192E-01,3.232237E-02,3.486843E+02,7.145001E-01,1.982530E-02,5.007521E-05,1.339367E+03,0.000000E+00,7.614318E-02,0.000000E+00
02:40:00,1.667224E+03,4.744623E+02,1.074192E-01,3.325945E-02,3.486843E+02,8.991256E-02,1.982530E-02,6.300309E-06,1.339367E+03,0.000000E+00,7.614319E-02,0.000000E+00
02:50:00,1.667224E+03,4.791944E+02,1.074192E-01,3.358378E-02,3.486843E+02,0.000000E+00,1.982530E-02,0.000000E+00,1.339367E+03,0.000000E+00,7.614319E-02,0.000000E+00
03:00:00,1.667225E+03,4.767509E+02,1.074192E-01,3.341266E-02,3.486844E+02,0.000000E+00,1.982530E-02,0.000000E+00,1.339367E+03,0.000000E+00,7.614319E-02,0.000000E+00
03:10:00,1.667225E+03,4.727871E+02,1.074192E-01,3.313506E-02,3.486844E+02,0.000000E+00,1.982530E-02,0.000000E+00,1.339367E+03,0.000000E+00,7.614319E-02,0.000000E+00
